Order_ID,Order_Date,Ship_Date,Customer_ID,Region,Category,Sub_Category,Sales,Profit
US-2015-150630,17-09-15,21-09-15,TB-21520,East,Office Supplies,Art,86.304,9.7092
US-2015-150630,17-09-15,21-09-15,TB-21520,East,Office Supplies,Binders,6.858,-5.715
US-2015-150630,17-09-15,21-09-15,TB-21520,East,Office Supplies,Art,15.76,3.546
CA-2017-107727,19-10-17,23-10-17,MA-17560,Central,Office Supplies,Paper,29.472,9.9468
CA-2016-117590,08-12-16,10-12-16,GH-14485,Central,Technology,Phones,1097.544,123.4737
CA-2016-117590,08-12-16,10-12-16,GH-14485,Central,Furniture,Furnishings,190.92,-147.963
CA-2015-117415,27-12-15,31-12-15,SN-20710,Central,Office Supplies,Envelopes,113.328,35.415
CA-2015-117415,27-12-15,31-12-15,SN-20710,Central,Furniture,Bookcases,532.3992,-46.9764
CA-2015-117415,27-12-15,31-12-15,SN-20710,Central,Furniture,Chairs,212.058,-15.147
CA-2015-117415,27-12-15,31-12-15,SN-20710,Central,Technology,Phones,371.168,41.7564
CA-2017-120999,10-09-17,15-09-17,LC-16930,Central,Technology,Phones,147.168,16.5564
CA-2016-101343,17-07-16,22-07-16,RA-19885,West,Office Supplies,Storage,77.88,3.894
CA-2017-139619,19-09-17,23-09-17,ES-14080,South,Office Supplies,Storage,95.616,9.5616
CA-2016-118255,11-03-16,13-03-16,ON-18715,Central,Technology,Accessories,45.98,19.7714
CA-2016-118255,11-03-16,13-03-16,ON-18715,Central,Office Supplies,Binders,17.46,8.2062
CA-2014-146703,20-10-14,25-10-14,PO-18865,Central,Office Supplies,Storage,211.96,8.4784
CA-2016-169194,20-06-16,25-06-16,LH-16900,East,Technology,Accessories,45,4.95
CA-2016-169194,20-06-16,25-06-16,LH-16900,East,Technology,Phones,21.8,6.104
CA-2015-115742,18-04-15,22-04-15,DP-13000,Central,Office Supplies,Binders,38.22,17.9634
CA-2015-115742,18-04-15,22-04-15,DP-13000,Central,Office Supplies,Labels,75.18,35.3346
CA-2015-115742,18-04-15,22-04-15,DP-13000,Central,Furniture,Furnishings,6.16,2.9568
CA-2015-115742,18-04-15,22-04-15,DP-13000,Central,Furniture,Chairs,89.99,17.0981
CA-2016-105816,11-12-16,17-12-16,JM-15265,East,Office Supplies,Fasteners,15.26,6.2566
CA-2016-105816,11-12-16,17-12-16,JM-15265,East,Technology,Phones,1029.95,298.6855
CA-2016-111682,17-06-16,18-06-16,TB-21055,East,Office Supplies,Storage,208.56,52.14
CA-2016-111682,17-06-16,18-06-16,TB-21055,East,Office Supplies,Paper,32.4,15.552
CA-2016-111682,17-06-16,18-06-16,TB-21055,East,Furniture,Chairs,319.41,7.098
CA-2016-111682,17-06-16,18-06-16,TB-21055,East,Office Supplies,Paper,14.56,6.9888
CA-2016-111682,17-06-16,18-06-16,TB-21055,East,Technology,Accessories,30,3.3
CA-2016-111682,17-06-16,18-06-16,TB-21055,East,Office Supplies,Binders,48.48,16.362
CA-2016-111682,17-06-16,18-06-16,TB-21055,East,Office Supplies,Art,1.68,0.84
CA-2015-135545,24-11-15,30-11-15,KM-16720,West,Technology,Accessories,13.98,6.1512
CA-2015-135545,24-11-15,30-11-15,KM-16720,West,Office Supplies,Binders,25.824,9.3612
CA-2015-135545,24-11-15,30-11-15,KM-16720,West,Office Supplies,Paper,146.73,68.9631
CA-2015-135545,24-11-15,30-11-15,KM-16720,West,Furniture,Furnishings,79.76,22.3328
US-2015-164175,30-04-15,05-05-15,PS-18970,Central,Furniture,Chairs,213.115,-15.2225
CA-2014-106376,05-12-14,10-12-14,BS-11590,West,Office Supplies,Art,1113.024,111.3024
CA-2014-106376,05-12-14,10-12-14,BS-11590,West,Technology,Phones,167.968,62.988
CA-2016-119823,04-06-16,06-06-16,KD-16270,South,Office Supplies,Paper,75.88,35.6636
CA-2016-106075,18-09-16,23-09-16,HM-14980,East,Office Supplies,Binders,4.616,1.731
CA-2017-114440,14-09-17,17-09-17,TB-21520,Central,Office Supplies,Paper,19.05,8.763
US-2015-134026,26-04-15,02-05-15,JE-15745,South,Furniture,Chairs,831.936,-114.3912
US-2015-134026,26-04-15,02-05-15,JE-15745,South,Furniture,Furnishings,97.04,1.213
US-2015-134026,26-04-15,02-05-15,JE-15745,South,Office Supplies,Storage,72.784,-18.196
US-2017-118038,09-12-17,11-12-17,KB-16600,Central,Office Supplies,Binders,1.248,-1.9344
US-2017-118038,09-12-17,11-12-17,KB-16600,Central,Furniture,Furnishings,9.708,-5.8248
US-2017-118038,09-12-17,11-12-17,KB-16600,Central,Office Supplies,Storage,27.24,2.724
US-2014-147606,26-11-14,01-12-14,JE-15745,Central,Furniture,Furnishings,19.3,-14.475
CA-2016-127208,12-06-16,15-06-16,SC-20770,South,Office Supplies,Appliances,208.16,56.2032
CA-2016-127208,12-06-16,15-06-16,SC-20770,South,Office Supplies,Binders,16.74,8.0352
CA-2014-139451,12-10-14,16-10-14,DN-13690,West,Office Supplies,Art,14.9,4.172
CA-2014-139451,12-10-14,16-10-14,DN-13690,West,Office Supplies,Storage,21.39,6.2031
CA-2015-149734,03-09-15,08-09-15,JC-16105,South,Office Supplies,Envelopes,200.984,62.8075
US-2017-119662,13-11-17,16-11-17,CS-12400,Central,Office Supplies,Storage,230.376,-48.9549
CA-2017-140088,28-05-17,30-05-17,PO-18865,South,Furniture,Chairs,301.96,33.2156
CA-2017-155558,26-10-17,02-11-17,PG-18895,Central,Technology,Accessories,19.99,6.7966
CA-2017-155558,26-10-17,02-11-17,PG-18895,Central,Office Supplies,Labels,6.16,2.9568
CA-2016-159695,05-04-16,10-04-16,GM-14455,Central,Office Supplies,Storage,158.368,13.8572
CA-2016-109806,17-09-16,22-09-16,JS-15685,West,Office Supplies,Art,20.1,6.633
CA-2016-109806,17-09-16,22-09-16,JS-15685,West,Technology,Phones,73.584,8.2782
CA-2016-109806,17-09-16,22-09-16,JS-15685,West,Office Supplies,Paper,6.48,3.1104
CA-2015-149587,31-01-15,05-02-15,KB-16315,Central,Office Supplies,Paper,12.96,6.2208
CA-2015-149587,31-01-15,05-02-15,KB-16315,Central,Furniture,Furnishings,53.34,16.5354
CA-2015-149587,31-01-15,05-02-15,KB-16315,Central,Office Supplies,Binders,32.96,16.1504
US-2017-109484,06-11-17,12-11-17,RB-19705,West,Office Supplies,Binders,5.682,-3.788
CA-2017-161018,09-11-17,11-11-17,PN-18775,East,Furniture,Furnishings,96.53,40.5426
CA-2017-157833,17-06-17,20-06-17,KD-16345,West,Office Supplies,Binders,51.312,17.9592
CA-2016-149223,06-09-16,11-09-16,ER-13855,Central,Office Supplies,Appliances,77.88,22.5852
CA-2016-158568,29-08-16,02-09-16,RB-19465,Central,Office Supplies,Paper,64.624,22.6184
CA-2016-158568,29-08-16,02-09-16,RB-19465,Central,Technology,Accessories,95.976,-10.7973
CA-2016-158568,29-08-16,02-09-16,RB-19465,Central,Office Supplies,Binders,1.788,-3.0396
CA-2016-129903,01-12-16,04-12-16,GZ-14470,Central,Office Supplies,Paper,23.92,11.7208
US-2015-156867,13-11-15,17-11-15,LC-16870,West,Technology,Accessories,238.896,-26.8758
US-2015-156867,13-11-15,17-11-15,LC-16870,West,Furniture,Furnishings,102.36,-3.8385
US-2015-156867,13-11-15,17-11-15,LC-16870,West,Office Supplies,Binders,36.882,-25.8174
CA-2017-119004,23-11-17,28-11-17,JM-15250,South,Technology,Accessories,74.112,17.6016
CA-2017-119004,23-11-17,28-11-17,JM-15250,South,Technology,Phones,27.992,2.0994
CA-2017-119004,23-11-17,28-11-17,JM-15250,South,Office Supplies,Art,3.304,1.0738
CA-2015-129476,15-10-15,20-10-15,PA-19060,Central,Technology,Accessories,339.96,67.992
CA-2017-146780,25-12-17,30-12-17,CV-12805,East,Furniture,Furnishings,41.96,10.9096
CA-2016-128867,03-11-16,10-11-16,CL-12565,Central,Office Supplies,Art,75.96,22.788
CA-2016-128867,03-11-16,10-11-16,CL-12565,Central,Office Supplies,Binders,27.24,13.3476
CA-2014-115259,25-08-14,27-08-14,RC-19960,East,Office Supplies,Fasteners,40.096,14.5348
CA-2014-115259,25-08-14,27-08-14,RC-19960,East,Office Supplies,Envelopes,4.72,1.652
CA-2014-115259,25-08-14,27-08-14,RC-19960,East,Office Supplies,Paper,23.976,7.4925
CA-2014-115259,25-08-14,27-08-14,RC-19960,East,Office Supplies,Envelopes,130.464,44.0316
CA-2015-110457,02-03-15,06-03-15,DK-13090,West,Furniture,Tables,787.53,165.3813
US-2015-136476,05-04-15,10-04-15,GG-14650,South,Office Supplies,Binders,157.794,-115.7156
CA-2016-103730,12-06-16,15-06-16,SC-20725,East,Furniture,Furnishings,47.04,18.3456
CA-2016-103730,12-06-16,15-06-16,SC-20725,East,Office Supplies,Binders,30.84,13.878
CA-2016-103730,12-06-16,15-06-16,SC-20725,East,Office Supplies,Storage,226.56,63.4368
CA-2016-103730,12-06-16,15-06-16,SC-20725,East,Office Supplies,Envelopes,115.02,51.759
CA-2016-103730,12-06-16,15-06-16,SC-20725,East,Technology,Phones,68.04,19.7316
US-2014-152030,26-12-14,28-12-14,AD-10180,Central,Furniture,Chairs,600.558,-8.5794
US-2014-134614,20-09-14,25-09-14,PF-19165,Central,Furniture,Tables,617.7,-407.682
US-2017-107272,05-11-17,12-11-17,TS-21610,West,Office Supplies,Binders,2.388,-1.8308
US-2017-107272,05-11-17,12-11-17,TS-21610,West,Office Supplies,Storage,243.992,30.499
US-2016-125969,06-11-16,10-11-16,LS-16975,West,Furniture,Chairs,81.424,-9.1602
US-2016-125969,06-11-16,10-11-16,LS-16975,West,Furniture,Furnishings,238.56,26.2416
US-2017-164147,02-02-17,05-02-17,DW-13585,East,Technology,Phones,59.97,-11.994
US-2017-164147,02-02-17,05-02-17,DW-13585,East,Office Supplies,Paper,78.304,29.364
US-2017-164147,02-02-17,05-02-17,DW-13585,East,Office Supplies,Fasteners,21.456,6.9732
CA-2016-145583,13-10-16,19-10-16,LC-16885,West,Office Supplies,Paper,20.04,9.6192
CA-2016-145583,13-10-16,19-10-16,LC-16885,West,Office Supplies,Paper,35.44,16.6568
CA-2016-145583,13-10-16,19-10-16,LC-16885,West,Office Supplies,Art,11.52,3.456
CA-2016-145583,13-10-16,19-10-16,LC-16885,West,Office Supplies,Fasteners,4.02,1.9698
CA-2016-145583,13-10-16,19-10-16,LC-16885,West,Office Supplies,Binders,76.176,26.6616
CA-2016-145583,13-10-16,19-10-16,LC-16885,West,Office Supplies,Supplies,65.88,18.4464
CA-2016-145583,13-10-16,19-10-16,LC-16885,West,Furniture,Furnishings,43.12,20.6976
CA-2016-110366,05-09-16,07-09-16,JD-15895,East,Furniture,Furnishings,82.8,10.35
CA-2017-106180,18-09-17,23-09-17,SH-19975,West,Office Supplies,Art,8.82,2.3814
CA-2017-106180,18-09-17,23-09-17,SH-19975,West,Office Supplies,Envelopes,10.86,5.1042
CA-2017-106180,18-09-17,23-09-17,SH-19975,West,Office Supplies,Paper,143.7,68.976
CA-2017-155376,22-12-17,27-12-17,SG-20080,Central,Office Supplies,Appliances,839.43,218.2518
CA-2015-110744,07-09-15,12-09-15,HA-14920,West,Office Supplies,Storage,671.93,20.1579
CA-2014-110072,22-10-14,28-10-14,MG-17680,East,Furniture,Furnishings,93.888,12.9096
CA-2016-114489,05-12-16,09-12-16,JE-16165,Central,Technology,Phones,384.45,103.8015
CA-2016-114489,05-12-16,09-12-16,JE-16165,Central,Technology,Phones,149.97,5.9988
CA-2016-114489,05-12-16,09-12-16,JE-16165,Central,Furniture,Chairs,1951.84,585.552
CA-2016-114489,05-12-16,09-12-16,JE-16165,Central,Office Supplies,Binders,171.55,80.6285
CA-2016-158834,13-03-16,16-03-16,TW-21025,West,Office Supplies,Appliances,157.92,17.766
CA-2016-158834,13-03-16,16-03-16,TW-21025,West,Technology,Phones,203.184,15.2388
CA-2015-124919,31-05-15,02-06-15,SP-20650,West,Office Supplies,Paper,58.38,26.271
CA-2015-124919,31-05-15,02-06-15,SP-20650,West,Office Supplies,Paper,105.52,48.5392
CA-2015-124919,31-05-15,02-06-15,SP-20650,West,Office Supplies,Storage,80.88,21.0288
CA-2015-118948,28-05-15,03-06-15,NK-18490,West,Office Supplies,Art,6.63,1.7901
CA-2014-104269,01-03-14,06-03-14,DB-13060,West,Furniture,Chairs,457.568,51.4764
CA-2016-114104,20-11-16,24-11-16,NP-18670,Central,Office Supplies,Labels,14.62,6.8714
CA-2016-114104,20-11-16,24-11-16,NP-18670,Central,Technology,Phones,944.93,236.2325
CA-2016-162733,11-05-16,12-05-16,TT-21070,West,Office Supplies,Paper,5.98,2.691
CA-2015-119697,28-12-15,31-12-15,EM-13960,East,Technology,Accessories,54.384,1.3596
CA-2016-154508,16-11-16,20-11-16,RD-19900,West,Office Supplies,Envelopes,28.4,13.348
CA-2016-113817,07-11-16,11-11-16,MJ-17740,West,Office Supplies,Binders,27.68,9.688
CA-2014-139892,08-09-14,12-09-14,BM-11140,Central,Office Supplies,Art,9.936,2.7324
CA-2014-139892,08-09-14,12-09-14,BM-11140,Central,Technology,Machines,8159.952,-1359.992
CA-2014-139892,08-09-14,12-09-14,BM-11140,Central,Office Supplies,Storage,275.928,-58.6347
CA-2014-139892,08-09-14,12-09-14,BM-11140,Central,Furniture,Chairs,1740.06,-24.858
CA-2014-139892,08-09-14,12-09-14,BM-11140,Central,Office Supplies,Art,32.064,6.8136
CA-2014-139892,08-09-14,12-09-14,BM-11140,Central,Office Supplies,Appliances,177.98,-453.849
CA-2014-139892,08-09-14,12-09-14,BM-11140,Central,Technology,Phones,143.976,8.9985
CA-2014-118962,05-08-14,09-08-14,CS-12130,West,Office Supplies,Paper,20.94,9.8418
CA-2014-118962,05-08-14,09-08-14,CS-12130,West,Office Supplies,Paper,110.96,53.2608
CA-2014-118962,05-08-14,09-08-14,CS-12130,West,Furniture,Chairs,340.144,21.259
US-2014-100853,14-09-14,19-09-14,JB-15400,Central,Office Supplies,Appliances,52.448,-131.12
US-2014-100853,14-09-14,19-09-14,JB-15400,Central,Office Supplies,Labels,20.16,6.552
US-2017-152366,21-04-17,25-04-17,SJ-20500,Central,Office Supplies,Appliances,97.264,-243.16
US-2015-101511,21-11-15,23-11-15,JE-15745,East,Furniture,Chairs,396.802,-11.3372
US-2015-101511,21-11-15,23-11-15,JE-15745,East,Office Supplies,Supplies,15.88,-3.7715
CA-2015-137225,15-12-15,19-12-15,JK-15640,East,Office Supplies,Art,3.28,1.4104
CA-2014-166191,05-12-14,09-12-14,DK-13150,Central,Office Supplies,Storage,24.816,1.8612
CA-2014-166191,05-12-14,09-12-14,DK-13150,Central,Technology,Accessories,408.744,76.6395
CA-2014-158274,19-11-14,24-11-14,RM-19675,South,Technology,Phones,503.96,131.0296
CA-2014-158274,19-11-14,24-11-14,RM-19675,South,Technology,Phones,149.95,41.986
CA-2014-158274,19-11-14,24-11-14,RM-19675,South,Technology,Accessories,29,7.25
CA-2016-105018,28-11-16,02-12-16,SK-19990,East,Office Supplies,Binders,7.16,3.4368
CA-2014-123260,26-08-14,30-08-14,FM-14290,West,Technology,Accessories,176.8,22.984
CA-2016-157000,16-07-16,22-07-16,AM-10360,Central,Office Supplies,Storage,37.224,3.7224
CA-2016-157000,16-07-16,22-07-16,AM-10360,Central,Office Supplies,Paper,20.016,6.255
CA-2015-102281,12-10-15,14-10-15,MP-17470,East,Furniture,Bookcases,899.136,112.392
CA-2015-102281,12-10-15,14-10-15,MP-17470,East,Technology,Phones,71.76,20.0928
CA-2015-102281,12-10-15,14-10-15,MP-17470,East,Office Supplies,Paper,51.84,24.8832
CA-2015-102281,12-10-15,14-10-15,MP-17470,East,Furniture,Bookcases,626.352,46.9764
CA-2015-102281,12-10-15,14-10-15,MP-17470,East,Office Supplies,Art,19.9,6.567
CA-2015-131457,31-10-15,06-11-15,MZ-17515,West,Office Supplies,Envelopes,14.28,6.7116
CA-2014-140004,21-03-14,25-03-14,CB-12025,East,Office Supplies,Art,7.408,1.2038
CA-2014-140004,21-03-14,25-03-14,CB-12025,East,Office Supplies,Art,6.048,1.5876
CA-2017-107720,06-11-17,13-11-17,VM-21685,East,Office Supplies,Storage,46.26,12.0276
US-2017-124303,06-07-17,13-07-17,FH-14365,East,Office Supplies,Binders,2.946,-2.2586
US-2017-124303,06-07-17,13-07-17,FH-14365,East,Office Supplies,Paper,16.056,5.8203
CA-2017-105074,24-06-17,29-06-17,MB-17305,East,Office Supplies,Paper,21.744,6.795
CA-2014-133690,03-08-14,05-08-14,BS-11755,West,Furniture,Tables,218.75,-161.875
CA-2014-133690,03-08-14,05-08-14,BS-11755,West,Office Supplies,Appliances,2.6,0.2925
US-2017-116701,17-12-17,21-12-17,LC-17140,Central,Office Supplies,Appliances,66.284,-178.9668
CA-2017-126382,03-06-17,07-06-17,HK-14890,South,Furniture,Furnishings,35.168,9.6712
CA-2017-108329,09-12-17,14-12-17,LE-16810,West,Technology,Phones,444.768,44.4768
CA-2017-135860,01-12-17,07-12-17,JH-15985,Central,Office Supplies,Storage,83.92,5.8744
CA-2017-135860,01-12-17,07-12-17,JH-15985,Central,Technology,Phones,131.98,35.6346
CA-2017-135860,01-12-17,07-12-17,JH-15985,Central,Office Supplies,Binders,15.92,7.4824
CA-2017-135860,01-12-17,07-12-17,JH-15985,Central,Office Supplies,Fasteners,52.29,16.2099
CA-2017-135860,01-12-17,07-12-17,JH-15985,Central,Office Supplies,Storage,91.99,3.6796
CA-2015-101007,09-02-15,13-02-15,MS-17980,Central,Technology,Accessories,20.8,6.5
CA-2015-146262,02-01-15,09-01-15,VW-21775,East,Office Supplies,Labels,23.68,8.88
CA-2015-146262,02-01-15,09-01-15,VW-21775,East,Furniture,Bookcases,452.45,-244.323
CA-2015-146262,02-01-15,09-01-15,VW-21775,East,Technology,Phones,62.982,-14.6958
CA-2015-146262,02-01-15,09-01-15,VW-21775,East,Technology,Machines,1188,-950.4
CA-2015-146262,02-01-15,09-01-15,VW-21775,East,Technology,Accessories,89.584,4.4792
CA-2016-130162,28-10-16,01-11-16,JH-15910,West,Office Supplies,Storage,93.06,26.0568
CA-2016-130162,28-10-16,01-11-16,JH-15910,West,Technology,Phones,302.376,22.6782
CA-2015-169397,24-12-15,27-12-15,JB-15925,East,Office Supplies,Fasteners,5.584,1.8148
CA-2015-169397,24-12-15,27-12-15,JB-15925,East,Office Supplies,Paper,22.704,8.2302
CA-2015-169397,24-12-15,27-12-15,JB-15925,East,Office Supplies,Binders,19.776,-13.8432
CA-2015-169397,24-12-15,27-12-15,JB-15925,East,Furniture,Furnishings,72.704,19.0848
CA-2015-169397,24-12-15,27-12-15,JB-15925,East,Technology,Machines,479.988,-383.9904
CA-2015-169397,24-12-15,27-12-15,JB-15925,East,Office Supplies,Art,27.168,2.7168
CA-2015-163055,09-08-15,16-08-15,DS-13180,Central,Office Supplies,Art,2.2,0.968
CA-2015-163055,09-08-15,16-08-15,DS-13180,Central,Furniture,Tables,622.45,136.939
CA-2015-163055,09-08-15,16-08-15,DS-13180,Central,Office Supplies,Storage,21.98,0.2198
US-2015-145436,28-02-15,04-03-15,VD-21670,South,Furniture,Chairs,161.568,-28.2744
US-2015-145436,28-02-15,04-03-15,VD-21670,South,Furniture,Chairs,389.696,43.8408
US-2014-156216,13-09-14,17-09-14,EA-14035,South,Office Supplies,Binders,18.648,-12.432
US-2017-100930,07-04-17,12-04-17,CS-12400,South,Furniture,Tables,233.86,-102.048
US-2017-100930,07-04-17,12-04-17,CS-12400,South,Furniture,Tables,620.6145,-248.2458
US-2017-100930,07-04-17,12-04-17,CS-12400,South,Office Supplies,Binders,5.328,-3.552
US-2017-100930,07-04-17,12-04-17,CS-12400,South,Furniture,Furnishings,258.072,0
US-2017-100930,07-04-17,12-04-17,CS-12400,South,Technology,Accessories,617.976,-7.7247
CA-2017-160514,12-11-17,16-11-17,DB-13120,West,Office Supplies,Paper,10.56,4.752
CA-2016-157749,04-06-16,09-06-16,KL-16645,Central,Office Supplies,Paper,25.92,9.396
CA-2016-157749,04-06-16,09-06-16,KL-16645,Central,Furniture,Furnishings,419.68,-356.728
CA-2016-157749,04-06-16,09-06-16,KL-16645,Central,Furniture,Furnishings,11.688,-4.6752
CA-2016-157749,04-06-16,09-06-16,KL-16645,Central,Technology,Phones,31.984,11.1944
CA-2016-157749,04-06-16,09-06-16,KL-16645,Central,Furniture,Tables,177.225,-120.513
CA-2016-157749,04-06-16,09-06-16,KL-16645,Central,Furniture,Furnishings,4.044,-2.8308
CA-2016-157749,04-06-16,09-06-16,KL-16645,Central,Office Supplies,Art,7.408,1.2038
CA-2014-131926,01-06-14,06-06-14,DW-13480,Central,Furniture,Chairs,2001.86,580.5394
CA-2014-131926,01-06-14,06-06-14,DW-13480,Central,Office Supplies,Storage,166.72,41.68
CA-2014-131926,01-06-14,06-06-14,DW-13480,Central,Office Supplies,Paper,47.88,23.94
CA-2014-131926,01-06-14,06-06-14,DW-13480,Central,Office Supplies,Appliances,1503.25,496.0725
CA-2014-131926,01-06-14,06-06-14,DW-13480,Central,Office Supplies,Paper,25.92,12.4416
CA-2016-154739,10-12-16,15-12-16,LH-17155,West,Furniture,Chairs,321.568,28.1372
CA-2016-145625,11-09-16,17-09-16,KC-16540,West,Office Supplies,Paper,7.61,3.5767
CA-2016-145625,11-09-16,17-09-16,KC-16540,West,Technology,Accessories,3347.37,636.0003
CA-2016-146941,10-12-16,13-12-16,DL-13315,East,Office Supplies,Storage,80.58,22.5624
CA-2016-146941,10-12-16,13-12-16,DL-13315,East,Office Supplies,Envelopes,361.92,162.864
US-2015-159982,28-11-15,04-12-15,DR-12880,Central,Furniture,Furnishings,12.132,-8.4924
US-2015-159982,28-11-15,04-12-15,DR-12880,Central,Office Supplies,Storage,82.368,-19.5624
US-2015-159982,28-11-15,04-12-15,DR-12880,Central,Office Supplies,Storage,53.92,4.044
US-2015-159982,28-11-15,04-12-15,DR-12880,Central,Technology,Phones,647.904,56.6916
CA-2017-163139,01-12-17,03-12-17,CC-12670,East,Technology,Accessories,20.37,6.9258
CA-2017-163139,01-12-17,03-12-17,CC-12670,East,Office Supplies,Storage,221.55,6.6465
CA-2017-163139,01-12-17,03-12-17,CC-12670,East,Office Supplies,Binders,17.52,6.132
US-2017-155299,08-06-17,12-06-17,Dl-13600,Central,Office Supplies,Appliances,1.624,-4.466
US-2014-106992,19-09-14,21-09-14,SB-20290,Central,Technology,Machines,3059.982,-509.997
US-2014-106992,19-09-14,21-09-14,SB-20290,Central,Technology,Machines,2519.958,-251.9958
CA-2016-125318,06-06-16,13-06-16,RC-19825,Central,Technology,Phones,328.224,28.7196
CA-2015-155040,10-11-15,15-11-15,AH-10210,West,Technology,Accessories,79.9,35.156
CA-2017-136826,16-06-17,20-06-17,CB-12535,South,Office Supplies,Art,14.016,4.7304
CA-2016-111010,22-01-16,28-01-16,PG-18895,East,Office Supplies,Fasteners,7.56,0.3024
US-2017-145366,09-12-17,13-12-17,CA-12310,East,Office Supplies,Storage,37.208,-7.4416
US-2017-145366,09-12-17,13-12-17,CA-12310,East,Office Supplies,Envelopes,57.576,21.591
CA-2017-163979,28-12-17,02-01-18,KH-16690,West,Office Supplies,Storage,725.84,210.4936
CA-2015-155334,30-07-15,31-07-15,HA-14920,West,Technology,Accessories,209.93,92.3692
CA-2015-155334,30-07-15,31-07-15,HA-14920,West,Furniture,Furnishings,5.28,2.3232
CA-2015-155334,30-07-15,31-07-15,HA-14920,West,Office Supplies,Binders,10.92,4.095
CA-2017-118136,16-09-17,17-09-17,BB-10990,West,Office Supplies,Paper,8.82,4.0572
CA-2017-118136,16-09-17,17-09-17,BB-10990,West,Office Supplies,Art,5.98,1.5548
CA-2017-132976,13-10-17,17-10-17,AG-10495,East,Office Supplies,Paper,11.648,4.0768
CA-2017-132976,13-10-17,17-10-17,AG-10495,East,Office Supplies,Paper,18.176,5.9072
CA-2017-132976,13-10-17,17-10-17,AG-10495,East,Office Supplies,Storage,59.712,5.9712
CA-2017-132976,13-10-17,17-10-17,AG-10495,East,Office Supplies,Labels,24.84,8.694
US-2015-161991,26-09-15,28-09-15,SC-20725,Central,Office Supplies,Binders,2.08,-3.432
US-2015-161991,26-09-15,28-09-15,SC-20725,Central,Technology,Phones,1114.4,376.11
CA-2015-130890,02-11-15,06-11-15,JO-15280,West,Furniture,Tables,1038.84,51.942
CA-2015-130883,26-09-15,02-10-15,TB-21520,West,Office Supplies,Paper,141.76,47.844
CA-2015-130883,26-09-15,02-10-15,TB-21520,West,Technology,Accessories,239.8,47.96
CA-2015-130883,26-09-15,02-10-15,TB-21520,West,Office Supplies,Paper,31.104,10.8864
